,author,text,line,expected,result
0,apollonius,argonautica,οὐδὲ Φεραῖς Ἄδμητος ἐυρρήνεσσιν ἀνάσσωνμίμνεν ὑπὸ σκοπιὴν ὄρεος Χαλκωδονίοιο,7,5
1,apollonius,argonautica,ὧδ ἔτι κουρίζων περιθαρσέα δῦνεν ὅμιλονἡρώων,7,5
2,apollonius,argonautica,καί μιν ἄγων ἕκαθεν Σαρπηδονίην ὅθι πέτρηνκλείουσιν ποταμοῖο παρὰ ῥόον Ἐργίνοιολυγαίοις ἐδάμασσε περὶ νεφέεσσι καλύψας,7,5
3,apollonius,argonautica,τὸ γὰρ οἶον ἔην ἔτι λοιπὸν ἐέλδωρἐκ σέθεν ἄλλα δὲ πάντα πάλαι θρεπτήρια πέσσω,7,5
4,apollonius,argonautica,μιῇ δέ ἑ πάντες ἀυτῇσημαίνειν ἐπέτελλον,7,5
5,apollonius,argonautica,η ῥα καὶ εἰς ἔργον πρῶτος τράπεθ̓,7,5
6,apollonius,argonautica,παρὰ δέ σφισι μυρί ἔκειτοεἴδατα καὶ μέθυ λαρόν ἀφυσσαμένων προχόῃσινοἰνοχόων,7,5
7,apollonius,argonautica,προτέρω δέ κε νεῖκος ἐτύχθηεἰ μὴ δηριόωντας ὁμοκλήσαντες ἑταῖροιαὐτός τ Αἰσονίδης κατερήτυεν,7,5
8,apollonius,argonautica,ἤειδεν δ ὡς γαῖα καὶ οὐρανὸς ἠδὲ θάλασσατὸ πρὶν ἐπ ἀλλήλοισι μιῇ συναρηρότα μορφῇνείκεος ἐξ ὀλοοῖο διέκριθεν ἀμφὶς ἕκαστα,7,5
9,apollonius,argonautica,ἔνθ ἄρα τοίγεἑσπέριοι ἀνέμοιο παλιμπνοίῃσιν ἔκελσανκαί μιν κυδαίνοντες ὑπὸ κνέφας ἔντομα μήλωνκεῖαν ὀρινομένης ἁλὸς οἴδματι,7,5
10,apollonius,argonautica,αὐτὰρ ἅμ ἠελίοιο βολαῖς ἀνέμοιο λιπόντοςεἰρεσίῃ κραναὴν Σιντηίδα Λῆμνον ἵκοντο,7,5
11,apollonius,argonautica,ὄρσο μοι Ἰφινόη τοῦδ ἀνέρος ἀντιόωσαἡμέτερόνδε μολεῖν ὅστις στόλου ἡγεμονεύειὄφρα τί οἱ δήμοιο ἔπος θυμῆρες ἐνίσπω,7,7
12,apollonius,argonautica,καὶ δ αὐτοὺς γαίης τε καὶ ἄστεος αἴ κ ἐθέλητεκέκλεται αὐτίκα νῦν ἐπιβαινέμεν εὐμενέοντας,7,5
13,apollonius,argonautica,ἐν δὲ δύω δίφροι πεπονήατο δηριόωντες,7,5
14,apollonius,argonautica,οὐδ ἀπὸ μητρὸςλώβην ὡς τὸ πάροιθεν ἀεικέα παῖδες ἄμυνον,7,5
15,apollonius,argonautica,καὶ δ αὐτοὺς ξεινοῦσθαι ἐπὶ σφέα δώματ ἄγεσκονῥηιδίως,7,1
16,apollonius,argonautica,ἤτοι ὁ μέν σφεωνπεύθετο ναυτιλίης ἄνυσιν Πελίαό τ ἐφετμάς,7,5
17,apollonius,argonautica,πάντῃ δὲ περὶ μέγα πέπταται ἕρκος,7,3
18,apollonius,argonautica,Ἡρακλέης μὲν ἐνήρατο Τηλεκλῆαἠδὲ Μεγαβρόντην,7,5
19,apollonius,argonautica,αἰνότατον δὴ κεῖνο Δολιονίῃσι γυναιξὶνἀνδράσι τ ἐκ Διὸς ἦμαρ ἐπήλυθεν,7,5
20,apollonius,argonautica,ἡ δ ἄρ ὑπὲρ ξανθοῖο καρήατος Αἰσονίδαοπωτᾶτ ἀλκυονὶς λιγυρῇ ὀπὶ θεσπίζουσαλῆξιν ὀρινομένων ἀνέμων,7,5
21,apollonius,argonautica,ἀλλ ὅτε δὴ Μυσῶν λελιημένοι ἠπείροιοῬυνδακίδας προχοὰς μέγα τ ἠρίον Λἰγαίωνοςτυτθὸν ὑπὲκ Φρυγίης παρεμέτρεον εἰσορόωντεςδὴ τότ ἀνοχλίζων τετρηχότος οἴδματος ὁλκοὺςμεσσόθεν ἆξεν ἐρετμόν,7,5
22,apollonius,argonautica,πεδόθεν δὲ βαθύρριζόν περ ἐοῦσανπροσφὺς ἐξήειρε σὺν αὐτοῖς ἔχμασι γαίης,7,5
23,apollonius,argonautica,ὡς δ ὅταν ἀπροφάτως ἱστόν νεός εὖτε μάλισταχειμερίη ὀλοοῖο δύσις πέλει Ὠρίωνοςὑψόθεν ἐμπλήξασα θοὴ ἀνέμοιο κατάιξαὐτοῖσι σφήνεσσιν ὑπὲκ προτόνων ἐρύσηται,7,5
24,apollonius,argonautica,τόφρα δ Ὕλας χαλκέῃ σὺν κάλπιδι νόσφιν ὁμίλουδίζητο κρήνης ἱερὸν ῥόον ὥς κέ οἱ ὕδωρφθαίη ἀφυσσάμενος ποτιδόρπιον ἄλλα τε πάνταὀτραλέως κατὰ κόσμον ἐπαρτίσσειεν ἰόντι,7,5
25,apollonius,argonautica,τὼ δέ οἱ ὄσσεὄστλιγγες μαλεροῖο πυρὸς ὣς ἰνδάλλοντο,7,5
26,apollonius,argonautica,αὐτὸς ἑκὼν ἤδη τοι ὑπίσχομαι ἀντιάασθαι,7,5
27,apollonius,argonautica,τοῖος ἔην Διὸς υἱός ἔτι χνοάοντας ἰούλουςἀντέλλων ἔτι φαιδρὸς ἐν ὄμμασιν,7,5
28,apollonius,argonautica,ἀλλὰ βάλευ περὶ χειρί,7,3
29,apollonius,argonautica,ὧς τοῖσι παρήιά τ ἀμφοτέρωθενκαὶ γένυες κτύπεον,7,5
30,apollonius,argonautica,ὡς δὲ μελισσάων σμῆνος μέγα μηλοβοτῆρεςἠὲ μελισσοκόμοι πέτρῃ ἔνι καπνιόωσιναἱ δ ἤτοι τείως μὲν ἀολλέες ᾧ ἐνὶ σίμβλῳβομβηδὸν κλονέονται ἐπιπρὸ δὲ λιγνυόεντικαπνῷ τυφόμεναι πέτρης ἑκὰς ἀίσσουσιν,7,5
31,apollonius,argonautica,ξανθὰ δ ἐρεψάμενοι δάφνῃ καθύπερθε μέτωπαἀγχιάλῳ τῇ ἀκτῇ ἔπι πρυμνήσι ἀνῆπτοὈρφείῃ φόρμιγγι συνοίμιον ὕμνον ἄειδονἐμμελέως,7,5
32,apollonius,argonautica,οὐδέ τις ἔτλημὴ καὶ λευκανίηνδε φορεύμενος ἀλλ ἀποτηλοῦἑστηώς,7,5
33,apollonius,argonautica,πέτρας μὲν πάμπρωτον ἀφορμηθέντες ἐμεῖοΚυανέας ὄψεσθε δύω ἁλὸς ἐν ξυνοχῇσιντάων οὔτινά φημι διαμπερὲς ἐξαλέασθαι,7,5
34,apollonius,argonautica,οὐ γάρ κε κακὸν μόρον ἐξαλέαισθεπετράων οὐδ εἴ κε σιδηρείη πέλοι Λ̓ργώ,7,5
35,apollonius,argonautica,ἔνθα μὲν εἰς Ἀίδαο καταιβάτις ἐστὶ κέλευθοςἄκρη τε προβλὴς Ἀχερουσιὰς ὑψόθι τείνειδινήεις τ Ἀχέρων αὐτὴν διὰ νειόθι τέμνωνἄκρην ἐκ μεγάλης προχοὰς ἵησι φάραγγος,7,3
36,apollonius,argonautica,ἔστι δέ τις ἄκρη Ἑλίκης κατεναντίον Ἄρκτουπάντοθεν ἠλίβατος καί μιν καλέουσι Κάραμβιντῆς καὶ ὑπὲρ βορέαο περισχίζονται ἄελλαι,7,5
37,apollonius,argonautica,μετὰ δ Αἶαν ἅλις πομπῆες ἔσονται,7,5
38,apollonius,argonautica,ὧς τώγ ἀλλήλοισι παραβλήδην ἀγόρευον,7,7
39,apollonius,argonautica,ἀνὰ δ ἵστατ Ἰήσωνἂν δὲ Βορήιοι υἷες ἐφημοσύνῃσι γέροντος,7,5
40,apollonius,argonautica,Κυρήνη πέφαταί τις ἕλος πάρα Πηνειοῖομῆλα νέμειν προτέροισι παρ ἀνδράσιν,7,5
41,apollonius,argonautica,τὴν μὲν γὰρ φιλότητι θεὸς ποιήσατο νύμφηναὐτοῦ μακραίωνα καὶ ἀγρότιν,7,3
42,apollonius,argonautica,λίπεν δ ὅγε πατρὸς ἐφετμῇΦθίην ἐν δὲ Κέῳ κατενάσσατο λαὸν ἀγείραςΠαρράσιον τοίπερ τε Λυκάονός εἰσι γενέθληςκαὶ βωμὸν ποίησε μέγαν Διὸς Ἰκμαίοιοἱερά τ εὖ ἔρρεξεν ἐν οὔρεσιν ἀστέρι κείνῳΣειρίῳ αὐτῷ τε Κρονίδῃ Διί,7,5
43,apollonius,argonautica,εἴσατο γάρ ῥανηὸς ὑπὲρ πάσης κατεπάλμενον ἀμφικαλύψειν,7,5
44,apollonius,argonautica,ἡ δ ἰκέλη πτερόεντι μετήορος ἔσσυτ ὀιστῷ,7,5
45,apollonius,argonautica,οἱ δ ἐνὶ γαίῃχηλὰς σκηρίπτοντε πανημέριοι πονέονται,7,5
46,apollonius,argonautica,αὐτὰρ ὕπερθενἀμφιλαφεῖς πλατάνιστοι ἐπ ἀκροτάτῃ πεφύασιν,7,5
47,apollonius,argonautica,οὐδ ἄρα δηθὰ Λύκον κείνης πρόμον ἠπείροιοκαὶ Μαριανδυνοὺς λάθον ἀνέρας ὁρμισθέντεςαὐθένται Ἀμύκοιο κατὰ κλέος ὃ πρὶν ἄκουον,7,5
48,apollonius,argonautica,ἔμπης δ ἐξ ὑμέων ἔδοσαν τίσιν,7,0
49,apollonius,argonautica,ἔνθα ποτὲ προμολοῦσαν Ἀρητιάδα Μελανίππηνἥρως Ἡρακλέης ἐλοχήσατο καί οἱ ἄποιναἹππολύτη ζωστῆρα παναίολον ἐγγυάλιξενἀμφὶ κασιγνήτης,7,5
50,apollonius,argonautica,αἰεὶ δ ἄλλυδις ἄλλη ὅπῃ κύρσειε μάλισταἠπείρου χθαμαλῆς εἱλίσσεται,7,5
51,apollonius,argonautica,ταὶ δ εὖ κομέουσιν ἐδωδῇἀνέρας ἠδὲ λοετρὰ λεχώια τοῖσι πένονται,7,5
52,apollonius,argonautica,ἀλλοίη δὲ δίκη καὶ θέσμια τοῖσι τέτυκται,7,5
53,apollonius,argonautica,τοὶ δ αὖτ ἐγχείῃσι καὶ ἀσπίσι νῆ ἐκάλυψαν,7,5
54,apollonius,argonautica,ὧς οἵγ ἀσπίσι νῆα συναρτύναντες ἔρεψαν,7,7
55,apollonius,argonautica,ταῦτα μὲν αὐτίκα πάντα παρέξομεν εὐμενέοντες,7,0
56,apollonius,argonautica,ὧς δὲ καὶ ὑμέας αὖτις ἀπήμονας ἐξεσάωσενχείματος οὐλομένοιο,7,7
57,apollonius,argonautica,τῶ καὶ περιδείδια ναυτίλλεσθαι,7,7
58,apollonius,argonautica,αὐτίκα δ Ἥρητοῖον μητιόωσα παροιτέρη ἔκφατο μῦθον,7,7
59,apollonius,argonautica,πυκινὴ δὲ συνεύαδε μῆτις Ἀθήνῃκαί μιν ἔπειτ ἐξαῦτις ἀμείβετο μειλιχίοισιν,7,5
