,author,text,line,expected,result
0,apollonius,argonautica,οὐδ Ἀλόπῃ μίμνον πολυλήιοι Ἑρμείαουἱέες εὖ δεδαῶτε δόλους Ἔρυτος καὶ Ἐχίωντοῖσι δ ἐπὶ τρίτατος γνωτὸς κίε νισσομένοισινΑἰθαλίδης,0,0
1,apollonius,argonautica,τρίτατός γε μὲν ἕσπετ ἰοῦσινἈγκαῖος τὸν μέν ῥα πατὴρ Λυκόοργος ἔπεμπεντῶν ἄμφω γνωτὸς προγενέστερος,0,0
2,apollonius,argonautica,βῆ δὲ καὶ Αὐγείης ὃν δὴ φάτις Ἠελίοιοἔμμεναι,0,0
3,apollonius,argonautica,καὶ δ ἄλλω δύο παῖδε Ποσειδάωνος ἵκοντο,0,0
4,apollonius,argonautica,αὐτὰρ ἐπεὶ δμώεσσιν ἐπαρτέα πάντ ἐτέτυκτοὅσσα περ ἐντύνονται ἐπαρτέες ἔνδοθι νῆεςεὖτ ἂν ἄγῃ χρέος ἄνδρας ὑπεὶρ ἅλα ναυτίλλεσθαιδὴ τότ ἴσαν μετὰ νῆα δι ἄστεος ἔνθα περ ἀκταὶκλείονται Παγασαὶ Μαγνήτιδες,0,0
5,apollonius,argonautica,οἱ δὲ φαεινοὶἀστέρες ὣς νεφέεσσι μετέπρεπον,0,0
6,apollonius,argonautica,αὐτὰρ ὁ τήνγεμειλιχίοις ἐπέεσσι παρηγορέων προσέειπεν,0,0
7,apollonius,argonautica,τείως δ αὖ καὶ βωμὸν ἐπάκτιον Ἐμβασίοιοθείομεν Ἀπόλλωνος ὅ μοι χρείων ὑπέδεκτοσημανέειν δείξειν τε πόρους ἁλός εἴ κε θυηλαῖςοὗ ἕθεν ἐξάρχωμαι ἀεθλεύων βασιλῆι,0,0
8,apollonius,argonautica,ὦκα δέ τοίγεφιτροὺς ἀζαλέης στόρεσαν καθύπερθεν ἐλαίης,0,0
9,apollonius,argonautica,Αἰσονίδη τίνα τήνδε μετὰ φρεσὶ μῆτιν ἑλίσσεις,0,0
10,apollonius,argonautica,ἂν δὲ καὶ Ὀρφεὺςλαιῇ ἀνασχόμενος κίθαριν πείραζεν ἀοιδῆς,0,0
11,apollonius,argonautica,ἤειδεν δ ὡς πρῶτον Ὀφίων Εὐρυνόμη τεὨκεανὶς νιφόεντος ἔχον κράτος Οὐλύμποιο,0,0
12,apollonius,argonautica,οὐδ ἐπὶ δὴν μετέπειτα κερασσάμενοι Διὶ λοιβάςἣ θέμις ἑστηῶτες ἐπὶ γλώσσῃσι χέοντοαἰθομέναις ὕπνου δὲ διὰ κνέφας ἐμνώοντο,0,0
13,apollonius,argonautica,ἐπ ἀκροτάτῃσι δὲ νύμφαιΠηλιάδες κορυφῇσιν ἐθάμβεον εἰσορόωσαιἔργον Ἀθηναίης Ἰτωνίδος ἠδὲ καὶ αὐτοὺςἥρωας χείρεσσιν ἐπικραδάοντας ἐρετμά,0,0
14,apollonius,argonautica,ὡς δ ὁπότ ἀγραύλοιο κατ ἴχνια σημαντῆροςμυρία μῆλ ἐφέπονται ἄδην κεκορημένα ποίηςεἰς αὖλιν ὁ δέ τ εἶσι πάρος σύριγ γι λιγείῃκαλὰ μελιζόμενος νόμιον μέλος ὧς ἄρα τοίγεὡμάρτευν,0,0
15,apollonius,argonautica,τοῦ γάρ τε καὶ εἵνεκα δεῦρ ἐκάλεσσα,0,0
16,apollonius,argonautica,στῆ δ ἄρ ἐνὶ μέσσῃ ἀγορῇ ἀνὰ δ ἔσχεθε δειρὴνἦκα μόλις κυφοῖο μεταφρένου ὧδέ τ ἔειπεν,0,0
17,apollonius,argonautica,ἦ μὲν ἐγών εἰ καί με τὰ νῦν ἔτι πεφρίκασινκῆρες ἐπερχόμενόν που ὀίομαι εἰς ἔτος ἤδηγαῖαν ἐφέσσεσθαι κτερέων ἀπὸ μοῖραν ἑλοῦσαναὔτως ἣ θέμις ἐστί πάρος κακότητα πελάσσαι,0,0
18,apollonius,argonautica,καὶ τὸν μὲν προπάροιθε Πέλοψ ἴθυνε τινάσσωνἡνία σὺν δέ οἱ ἔσκε παραιβάτις Ἱπποδάμεια,0,0
19,apollonius,argonautica,περὶ γὰρ βαθυλήιος ἄλλωννήσων Αἰγαίῃ ὅσαι εἰν ἁλὶ ναιετάουσιν,0,0
20,apollonius,argonautica,οἱ δ ἄλλοι ὅπῃ καὶ ἔκυρσαν ἕκαστοςἩρακλῆος ἄνευθεν ὁ γὰρ παρὰ νηὶ λέλειπτοαὐτὸς ἑκὼν παῦροί τε διακρινθέντες ἑταῖροι,0,0
21,apollonius,argonautica,ἦ καὶ ἔβαιν ἐπὶ νῆα παροίτατος,0,0
22,apollonius,argonautica,ἔνθ Ἀργὼ προύτυψεν ἐπειγομένη ἀνέμοισινΘρηικίοις Καλὸς δὲ λιμὴν ὑπέδεκτο θέουσαν,0,0
23,apollonius,argonautica,οἱ δὲ περικτιόνων πόλιας καὶ κόλπον ἅπανταεὐρείης πεύθοντο Προποντίδος,0,1
24,apollonius,argonautica,Γηγενέες δ ἑτέρωθεν ἀπ οὔρεος ἀίξαντεςφράξαν ἀπειρεσίοιο Χυτοῦ στόμα νειόθι πέτρῃςπόντιον οἷά τε θῆρα λοχώμενοι ἔνδον ἐόντα,0,0
